River_type,Year,Quarter,TrspTot_TOTN,TrspTot_NO3-N,TrspTot_TOTP,TrspTot_TOC,DisTot
Distant,2010,3,5146603.98481956,2927760.66187342,136148.797382384,54906879.2438026,12701024936.3679
Distant,2010,4,5692324.9037978,3203758.62035591,121100.042528027,52740900.0030314,11858880732.7154
Distant,2011,1,3374944.73427206,2026305.85789397,51894.913193233,19950966.0942052,6882549483.14668
Distant,2011,2,8125275.83396845,4438990.65152789,279907.676065991,62517415.8434194,14762976639.5619
Distant,2011,3,11629106.1874537,5702030.66489009,475472.885472341,120653344.260198,24394934909.7598
Distant,2011,4,5728859.35040712,3320547.817475,164288.884358696,50557431.4134632,11234419322.636
Distant,2012,1,5046823.16363275,2972204.1858288,85487.1541780588,33333294.1433233,10018541784.1915
Distant,2012,2,6677110.5662173,3281569.53522926,165928.767961372,49007922.919486,14274311623.5542
Distant,2012,3,7975299.25820999,3820351.94011564,554732.215574712,71596588.2835028,16010108996.4992
Distant,2012,4,6483175.15244989,3345530.19110704,183839.097570304,60493773.5330671,13130946355.5089
Distant,2013,1,3870094.45178432,2350811.31375044,64307.7402529395,25003959.9296587,8536242325.60821
Distant,2013,2,10373344.8938443,6310589.23889844,354792.24977882,76776130.1704401,19383044520.5592
Distant,2013,3,4768630.55711515,2496232.45719743,94174.3501285272,40130119.4636011,11864262437.037
Distant,2013,4,5042745.09605167,3071583.26895068,146250.030452156,39780988.0207308,10522673713.6388
Distant,2014,1,7418746.70698625,4651191.7050848,218726.13173725,50094907.2171712,13013158842.9121
Distant,2014,2,7322442.41825234,4036454.68461798,189323.3339239,64091381.3225777,18299723067.3535
Distant,2014,3,3411540.4901577,1475732.06444524,71506.7064101748,30564169.6687309,9980152074.97321
Distant,2014,4,7192666.14210941,3998369.93933195,223440.399940401,69578963.96132,15371039940.9707
Distant,2015,1,5206555.65168202,3184786.48857966,90803.571487713,35354134.2652821,10606940039.6074
Distant,2015,2,6756494.0083445,3787115.54950703,115834.442530431,55387145.8577394,14267521220.9045
Distant,2015,3,7907535.36484918,3555473.96699748,274105.830582319,79241054.9311845,17401599013.875
Distant,2015,4,5562711.69996904,3130410.20099562,230280.0608699,47678314.2008501,10328133494.265
Distant,2016,1,5795787.15753095,3582495.58078957,224851.80471362,38810544.9206433,10195761144.1828
Distant,2016,2,6668246.42524034,3570563.79985353,193568.495896436,56087038.6004437,14072689992.5236
Distant,2016,3,3885196.17948879,1945657.88331799,72612.5407346878,32247129.6823223,10353904627.5277
Distant,2016,4,3959022.2539395,2314485.80491107,56784.3769551671,31032885.239746,9013501744.31401
Local,1990,1,568439.387661192,374272.298061173,0,4055114.92099332,1772077881.09395
Local,1990,2,235813.943628276,141308.460071536,0,1497789.8811813,797200971.775554
Local,1990,3,296353.839793321,158361.430537176,0,2457227.17075164,1066512152.50028
Local,1990,4,302476.066898827,171867.167188083,0,2506812.51844543,1048434988.8316
Local,1991,1,258795.173120145,163749.469568603,0,1655260.00915304,871360578.489971
Local,1991,2,332136.902443855,204828.89676078,0,2319610.49207661,1132530648.515
Local,1991,3,135571.446205921,80946.4852105862,0,1036954.33856235,558542241.825055
Local,1991,4,304706.455648429,184236.255867083,0,2846235.78592161,958416059.367308
Local,1992,1,189085.299050534,128421.371372134,0,1432285.87227658,649366955.076562
Local,1992,2,208440.314756924,128471.794769327,0,1655807.39479335,734426656.358663
Local,1992,3,241699.224625928,126874.090062107,0,2181722.18564771,760729383.837224
Local,1992,4,328548.696149426,179837.658456458,0,3431957.62806937,1136909918.095
Local,1993,1,288845.459422224,189842.884267407,59.136389023086,1972519.98346659,938049057.61502
Local,1993,2,291560.93331555,178074.383386224,129.565361509369,2100443.59367616,1016400303.86489
Local,1993,3,150120.662496962,97797.8340089607,156.606249378172,1144583.1637387,638079036.752133
Local,1993,4,306932.986060127,164542.217965907,743.0433096371,2496273.32942518,824166500.839243
Local,1994,1,204367.539424198,119828.25942898,434.58557236828,1300348.97038828,507531533.572976
Local,1994,2,823326.561517948,502228.306499028,2121.63638713961,6477431.63328766,2224577870.73159
Local,1994,3,353312.645885356,175744.601623542,1400.12229478146,3775076.3362194,1126420625.24882
Local,1994,4,423898.334157482,227530.973275009,1499.53459118859,4024975.31595274,1147405483.53321
Local,1995,1,476880.385591912,310483.845089411,1881.10096432403,3386031.8361213,1408905541.38284
Local,1995,2,489957.574249134,291275.460688713,2484.6435336962,4448821.71648866,1561433748.05084
Local,1995,3,269688.478512574,146252.556317426,1479.04998185639,2500133.40957865,861836567.079121
